100664145,(96, 31),6002
100664160,(96, 31),6002
100664510,(96, 31),6002
100664572,(87, 27),72805
100664572,(86, 27),37873
100664572,(96, 31),6002
100665596,(87, 27),72805
100665596,(86, 27),37873
100665596,(96, 31),6002
100665634,(87, 27),72805
100665634,(86, 27),37873
100665634,(96, 31),6002
100665719,(87, 27),72805
100665719,(86, 27),37873
100665719,(34, 33),14332
100665719,(96, 31),6002
100665755,(87, 27),72805
100665755,(61, 20),350563
100665755,(83, 28),1229
100665755,(58, 29),54
100665755,(59, 28),87706
100665755,(86, 27),37873
100665755,(34, 33),14332
100665755,(96, 31),6002
100665797,(87, 27),72805
100665797,(61, 20),350563
100665797,(83, 28),1229
100665797,(36, 37),1265
100665797,(58, 29),54
100665797,(59, 28),87706
100665797,(86, 27),37873
100665797,(34, 33),14332
100665797,(58, 37),274
100665797,(96, 31),6002
100665807,(87, 27),72805
100665807,(61, 20),350563
100665807,(83, 28),1229
100665807,(72, 33),50862
100665807,(36, 37),1265
100665807,(58, 29),54
100665807,(59, 28),87706
100665807,(86, 27),37873
100665807,(34, 33),14332
100665807,(58, 37),274
100665807,(96, 31),6002
100665830,(87, 27),72805
100665830,(61, 20),350563
100665830,(83, 28),1229
100665830,(72, 33),50862
100665830,(36, 37),1265
100665830,(58, 29),54
100665830,(59, 28),87706
100665830,(86, 27),37873
100665830,(34, 33),14332
100665830,(58, 37),274
100665830,(96, 31),6002
100665939,(87, 27),72805
100665939,(61, 20),350563
100665939,(83, 28),1229
100665939,(72, 33),50862
100665939,(36, 37),1265
100665939,(58, 29),54
100665939,(59, 28),87706
100665939,(86, 27),37873
100665939,(34, 33),14332
100665939,(58, 37),274
100665939,(96, 31),6002
100665963,(87, 27),72805
100665963,(61, 20),350563
100665963,(83, 28),1229
100665963,(72, 33),50862
100665963,(36, 37),1265
100665963,(58, 29),54
100665963,(59, 28),87706
100665963,(86, 27),37873
100665963,(34, 33),14332
100665963,(58, 37),274
100665963,(96, 31),6002
100665981,(87, 27),72805
100665981,(57, 31),601
100665981,(61, 20),350563
100665981,(83, 28),1229
100665981,(72, 33),50862
100665981,(36, 37),1265
100665981,(58, 29),54
100665981,(59, 28),87706
100665981,(13, 35),25777
100665981,(86, 27),37873
100665981,(34, 33),14332
100665981,(58, 37),274
100665981,(96, 31),6002
100666305,(87, 27),72805
100666305,(47, 64),120675
100666305,(57, 31),601
100666305,(61, 20),350563
100666305,(83, 28),1229
100666305,(72, 33),50862
100666305,(36, 37),1265
100666305,(58, 29),54
100666305,(59, 28),87706
100666305,(13, 35),25777
100666305,(86, 27),37873
100666305,(34, 33),14332
100666305,(58, 37),274
100666305,(96, 31),6002
100666427,(87, 27),72805
100666427,(47, 64),120675
100666427,(92, 75),3006
100666427,(57, 31),601
100666427,(61, 20),350563
100666427,(83, 28),1229
100666427,(72, 33),50862
100666427,(36, 37),1265
100666427,(58, 29),54
100666427,(59, 28),87706
100666427,(13, 35),25777
100666427,(86, 27),37873
100666427,(34, 33),14332
100666427,(58, 37),274
100666427,(96, 31),6002
100666430,(87, 27),72805
100666430,(47, 64),120675
100666430,(92, 75),3006
100666430,(57, 31),601
100666430,(61, 20),350563
100666430,(83, 28),1229
100666430,(72, 33),50862
100666430,(36, 37),1265
100666430,(58, 29),54
100666430,(59, 28),87706
100666430,(13, 35),25777
100666430,(86, 27),37873
100666430,(34, 33),14332
100666430,(58, 37),274
100666430,(96, 31),6002
100666521,(87, 27),72805
100666521,(47, 64),120675
100666521,(92, 75),3006
100666521,(61, 98),12261
100666521,(57, 31),601
100666521,(61, 20),350563
100666521,(83, 28),1229
100666521,(50, 94),567779
100666521,(72, 33),50862
100666521,(36, 37),1265
100666521,(50, 93),186655
100666521,(58, 29),54
100666521,(59, 28),87706
100666521,(13, 35),25777
100666521,(86, 27),37873
100666521,(34, 33),14332
100666521,(58, 37),274
100666521,(96, 31),6002
100666521,(65, 96),1803
100666711,(87, 27),72805
100666711,(47, 64),120675
100666711,(92, 75),3006
100666711,(61, 98),12261
100666711,(57, 31),601
100666711,(61, 20),350563
100666711,(83, 28),1229
100666711,(50, 94),567779
100666711,(72, 33),50862
100666711,(36, 37),1265
100666711,(50, 93),186655
100666711,(58, 29),54
100666711,(59, 28),87706
100666711,(13, 35),25777
100666711,(86, 27),37873
100666711,(34, 33),14332
100666711,(58, 37),274
100666711,(96, 31),6002
100666711,(65, 96),1803
100666922,(87, 27),72805
100666922,(47, 64),120675
100666922,(92, 75),3006
100666922,(61, 98),12261
100666922,(57, 31),601
100666922,(61, 20),350563
100666922,(83, 28),1229
100666922,(50, 94),567779
100666922,(72, 33),50862
100666922,(36, 37),1265
100666922,(50, 93),186655
100666922,(58, 29),54
100666922,(59, 28),87706
100666922,(13, 35),25777
100666922,(86, 27),37873
100666922,(34, 33),14332
100666922,(58, 37),274
100666922,(96, 31),6002
100666922,(65, 96),1803
100666967,(87, 27),72805
100666967,(47, 64),120675
100666967,(92, 75),3006
100666967,(61, 98),12261
100666967,(57, 31),601
100666967,(61, 20),350563
100666967,(83, 28),1229
100666967,(50, 94),567779
100666967,(72, 33),50862
100666967,(36, 37),1265
100666967,(50, 93),186655
100666967,(58, 29),54
100666967,(59, 28),87706
100666967,(13, 35),25777
100666967,(86, 27),37873
100666967,(34, 33),14332
100666967,(58, 37),274
100666967,(96, 31),6002
100666967,(65, 96),1803
100666992,(87, 27),72805
100666992,(47, 64),120675
100666992,(92, 75),3006
100666992,(61, 98),12261
100666992,(57, 31),601
100666992,(61, 20),350563
100666992,(83, 28),1229
100666992,(50, 94),567779
100666992,(72, 33),50862
100666992,(36, 37),1265
100666992,(50, 93),186655
100666992,(58, 29),54
100666992,(59, 28),87706
100666992,(13, 35),25777
100666992,(86, 27),37873
100666992,(34, 33),14332
100666992,(58, 37),274
100666992,(96, 31),6002
100666992,(65, 96),1803
100667109,(87, 27),72805
100667109,(47, 64),120675
100667109,(92, 75),3006
100667109,(61, 98),12261
100667109,(57, 31),601
